"",323963,338596
"POINT (-87.9030396611 41.9790708201)",108725,131704
"POINT (-87.6327464887 41.8809944707)",97218,103316
"POINT (-87.6572331997 41.8852813201)",82955,83396
"POINT (-87.6209929134 41.8849871918)",69270,74292
"POINT (-87.6318639497 41.8920421365)",59019,56450
"POINT (-87.6378442095 41.8932163595)",51873,50566
"POINT (-87.6635175498 41.874005383)",48830,51114
"POINT (-87.6333080367 41.899602111)",46736,47534
"POINT (-87.6262149064 41.8925077809)",46316,45078
"POINT (-87.913624596 41.9802643146)",41316,58667
"POINT (-87.6173580061 41.859349715)",40752,39352
"POINT (-87.6559981815 41.9442266014)",40549,37367
"POINT (-87.6188683546 41.8909220259)",37993,38157
"POINT (-87.6428084655 41.8853000224)",37765,36793
"POINT (-87.6763559892 41.9012069941)",37356,35774
"POINT (-87.7560467111 41.8906088526)",37102,35637
"POINT (-87.642648998 41.8792550844)",35844,41209
"POINT (-87.6991553432 41.9227606205)",33503,31112
"POINT (-87.6012851221 41.7904693995)",29445,23998
"POINT (-87.6262105324 41.8991556134)",26280,27137
"POINT (-87.6288741572 41.8920726347)",26262,24513
"POINT (-87.6197106717 41.8950334495)",26175,31586
"POINT (-87.6251921424 41.8788655841)",25672,29856
"POINT (-87.7509342894 41.785998518)",25347,27646
"POINT (-87.6219716519 41.8774061234)",24499,27001
"POINT (-87.6221729369 41.8706073724)",23189,21458
"POINT (-87.657005027 41.8790669938)",22263,20002
"POINT (-87.7655016086 41.9272609555)",21673,20492
"POINT (-87.5727819867 41.7615779081)",21534,21045
"POINT (-87.6494887289 41.9226862843)",21506,20973
"POINT (-87.6634164054 41.9867117999)",19951,19530
"POINT (-87.6499072264 41.9049353016)",19804,20077
"POINT (-87.7172201 41.8601900192)",19768,19534
"POINT (-87.6563059862 41.7442051463)",19636,19026
"POINT (-87.6950125892 42.001571027)",19117,18562
"POINT (-87.6357600901 41.9074919303)",19026,18107
"POINT (-87.6314065252 41.8710158803)",18976,16631
"POINT (-87.7209182385 41.9000696026)",18885,18904
"POINT (-87.7234523905 41.9535821253)",18717,17991
"POINT (-87.714003807 41.8390869059)",18667,18366
"POINT (-87.6233665115 41.7065878819)",18620,17986
"POINT (-87.6701668569 42.0096228806)",18048,17041
"POINT (-87.6207628651 41.8983317935)",17673,18465
"POINT (-87.6161341112 41.7632467988)",17444,16765
"POINT (-87.7633990316 41.9540276487)",17327,16478
"POINT (-87.7696154528 41.7925923603)",17073,19794
"POINT (-87.6429586652 41.8679024175)",16733,18719
"POINT (-87.592310855 41.794090253)",16308,16279
"POINT (-87.6558787862 41.96581197)",16266,15852
"POINT (-87.6317173661 41.9146162864)",16230,15849
"POINT (-87.6159695226 41.7402057565)",15799,15134
"POINT (-87.6665962653 41.7759288274)",15764,15289
"POINT (-87.6321092196 41.9002656868)",15613,14437
"POINT (-87.667569312 41.8502663663)",15328,15654
"POINT (-87.6291051864 41.9002212967)",15096,13501
"POINT (-87.6178596758 41.8129489392)",14962,14486
"POINT (-87.695666342 41.7718485152)",14953,14333
"POINT (-87.6838349425 41.9477915865)",14605,13764
"POINT (-87.6591665992 41.8090182499)",14563,14446
"POINT (-87.6536139825 41.8983058696)",14559,14968
"POINT (-87.6525344838 41.8926581076)",14484,12905
"POINT (-87.6129454143 41.8919715078)",14438,13536
"POINT (-87.6424975271 41.7771962546)",14437,14159
"POINT (-87.7215590627 41.968069)",14405,13311
"POINT (-87.5949254391 41.7788768603)",13982,13937
"POINT (-87.6753116216 41.906025969)",13977,12982
"POINT (-87.7112105933 41.9386661962)",13940,12620
"POINT (-87.6241352979 41.8492467545)",13788,13161
"POINT (-87.7058971305 41.8789144956)",13617,13193
"POINT (-87.6875155152 41.9751709433)",13577,13186
"POINT (-87.6750856208 41.8704150003)",13427,15940
"POINT (-87.6517705068 41.9426918444)",12248,11154
"POINT (-87.6186777673 41.8351179863)",12050,12071
"POINT (-87.6540070286 41.9147473049)",12042,11464
"POINT (-87.6513108767 41.9290469366)",11688,10586
"POINT (-87.7302324284 41.8785943576)",11495,11087
"POINT (-87.6988607973 41.8173662079)",11145,10580
"POINT (-87.6308650266 41.9058577688)",11098,9478
"POINT (-87.6515625922 41.9363101308)",11014,11234
"POINT (-87.6357397768 41.6738199043)",10924,10882
"POINT (-87.6716536214 41.8786674201)",10832,15145
"POINT (-87.6487879519 41.8361501547)",10700,10399
"POINT (-87.551428197 41.7412427285)",10666,10583
"POINT (-87.6462109769 41.9218549112)",10571,10919
"POINT (-87.6462934762 41.9290776551)",10549,10789
"POINT (-87.6488950721 41.7174930361)",10374,10391
"POINT (-87.7083657043 41.7457577128)",10131,10038
"POINT (-87.8773053996 41.9827750091)",9828,8403
"POINT (-87.8060200025 41.9465114202)",9788,9219
"POINT (-87.8045320063 41.9850151008)",9573,9181
"POINT (-87.6350918563 41.8510178239)",9565,9516
"POINT (-87.6266589003 41.9075200747)",9359,8395
"POINT (-87.6341560931 41.922082541)",9193,9574
"POINT (-87.6385749205 41.9383912577)",9072,8395
"POINT (-87.5896070309 41.7979652088)",9057,9713
"POINT (-87.6530217894 41.9581548757)",8982,8433
"POINT (-87.6384040116 41.9015669095)",8928,8285
"POINT (-87.6640782395 41.9218774613)",8777,9412
"POINT (-87.6510618838 41.9217781876)",8765,8199
"POINT (-87.6439653703 41.949829346)",8703,8314
"POINT (-87.6603894557 41.958055933)",8604,7867
"POINT (-87.6690544032 41.6897299145)",8529,8239
"POINT (-87.6203346241 41.8571838585)",8459,8666
"POINT (-87.6542980837 41.9462945357)",8431,8337
"POINT (-87.6470785093 41.942577185)",8405,8913
"POINT (-87.5961833442 41.8089162826)",8309,8054
"POINT (-87.6964352325 41.795430631)",8282,7782
"POINT (-87.6709450752 41.9083786693)",8280,8625
"POINT (-87.6179313803 41.7923572233)",8180,7798
"POINT (-87.771166703 41.9788295262)",7667,7406
"POINT (-87.6261455896 41.9027880476)",7239,6852
"POINT (-87.7269298425 41.7697780588)",7205,7014
"POINT (-87.5986973707 41.7832245177)",7087,7405
"POINT (-87.685362024 41.9286190509)",7041,7364
"POINT (-87.7347397536 41.9243470769)",6948,6618
"POINT (-87.6997544065 41.9211259143)",6862,7023
"POINT (-87.6564115308 41.9362371791)",6845,7047
"POINT (-87.6698377982 41.8996701799)",6464,5968
"POINT (-87.6612652184 41.936159071)",6404,6375
"POINT (-87.6398538587 41.9347624564)",6375,6715
"POINT (-87.6453787624 41.962178629)",6352,6587
"POINT (-87.6638654956 41.9726679555)",6313,5912
"POINT (-87.671445766 41.9192250505)",6292,6077
"POINT (-87.6559118484 41.9217014922)",6218,7134
"POINT (-87.6649539167 41.8997373884)",6204,5735
"POINT (-87.6460070664 41.9534000435)",6160,5682
"POINT (-87.6358909539 41.9292629902)",6146,6548
"POINT (-87.6414597588 41.9217783562)",6045,5758
"POINT (-87.6595642391 41.8563332167)",5997,5710
"POINT (-87.6747191345 41.8995897957)",5945,5744
"POINT (-87.5831437169 41.7905062613)",5940,6470
"POINT (-87.6467297286 41.9346591566)",5932,6335
"POINT (-87.6725026464 41.8299223039)",5734,5584
"POINT (-87.6422063127 41.9305785697)",5732,6059
"POINT (-87.5941966274 41.7980417164)",5730,6345
"POINT (-87.6631958495 41.9654457842)",5702,5285
"POINT (-87.7263633246 41.8108790078)",5607,5522
"POINT (-87.6300448953 41.7424875717)",5558,5395
"POINT (-87.717503858 41.942859303)",5491,4989
"POINT (-87.6561568309 41.9289672664)",5463,5652
"POINT (-87.768510849 41.7795828877)",5424,5024
"POINT (-87.6467820813 41.938232293)",5401,5378
"POINT (-87.6568039088 41.9491397709)",5367,5520
"POINT (-87.6653376596 41.9066507664)",5355,4846
"POINT (-87.7235831853 41.9836363072)",5351,5332
"POINT (-87.5727171342 41.7296764229)",5320,5178
"POINT (-87.6339734222 41.8420761168)",5235,4948
"POINT (-87.6573411073 41.9727095466)",5225,4813
"POINT (-87.7119742544 41.9293297134)",5220,4601
"POINT (-87.7049072355 41.9283913974)",5200,5088
"POINT (-87.5853031602 41.8012268363)",5181,5558
"POINT (-87.5700582686 41.6906333472)",5122,5077
"POINT (-87.6836429218 41.9119723006)",5073,5086
"POINT (-87.5940154442 41.7905666284)",5068,5591
"POINT (-87.6750753124 41.713148612)",5024,5266
"POINT (-87.6598643178 41.8925368719)",4996,4527
"POINT (-87.640698076 41.9431550855)",4852,4799
"POINT (-87.6409015248 41.9074128162)",4845,4611
"POINT (-87.6519703953 41.9492209135)",4839,4263
"POINT (-87.6687944391 41.9451704528)",4830,4645
"POINT (-87.6434709559 41.9432371225)",4821,5378
"POINT (-87.672920435 41.8631181033)",4798,4703
"POINT (-87.6661106945 41.9360865352)",4776,4558
"POINT (-87.5874792581 41.8059116993)",4767,5698
"POINT (-87.6532439924 41.9528229157)",4727,4371
"POINT (-87.6750951155 41.9160052737)",4676,4376
"POINT (-87.6945323419 41.9208017043)",4670,3845
"POINT (-87.6566440918 41.9425851797)",4668,4114
"POINT (-87.6665362813 41.9506733576)",4567,4673
"POINT (-87.6502900743 41.9729293173)",4529,4309
"POINT (-87.6540926517 41.8716894745)",4526,3951
"POINT (-87.5982558383 41.7061257523)",4517,4997
"POINT (-87.6647458359 41.8924931672)",4510,4081
"POINT (-87.6641882421 41.9799124453)",4506,5047
"POINT (-87.630963601 41.9094956686)",4416,3871
"POINT (-87.6714455473 41.9797955506)",4416,3691
"POINT (-87.6738072384 41.9292725315)",4394,4163
"POINT (-87.7242081939 41.7929819032)",4324,3958
"POINT (-87.6799547678 41.9204515116)",4257,4229
"POINT (-87.6941973701 41.9005603836)",4250,3892
"POINT (-87.665676837 41.9287630064)",4128,4057
"POINT (-87.684490122 41.8994222543)",4035,4135
"POINT (-87.6711095263 41.9724370811)",3991,3505
"POINT (-87.6649377243 41.9872255578)",3956,3982
"POINT (-87.6652247765 41.9944422482)",3953,3535
"POINT (-87.6788459662 41.9725625375)",3934,3786
"POINT (-87.659122427 42.004764559)",3931,4751
"POINT (-87.6796002867 41.8995065476)",3919,3273
"POINT (-87.5989445134 41.7979711911)",3891,4231
"POINT (-87.6430228044 41.9345397158)",3796,3865
"POINT (-87.6940010612 41.9725808001)",3736,3648
"POINT (-87.6676836101 42.0062788614)",3722,3381
"POINT (-87.7583535876 41.9939301285)",3685,3745
"POINT (-87.6523653588 41.9636331692)",3683,3412
"POINT (-87.6841474493 41.8847677845)",3671,3380
"POINT (-87.6907750098 41.9448137543)",3624,4013
"POINT (-87.6635286858 41.8474315472)",3608,3347
"POINT (-87.701330291 41.9428725376)",3598,3627
"POINT (-87.6608925701 41.9289459041)",3545,3609
"POINT (-87.5904311285 41.7904478989)",3533,4466
"POINT (-87.6735740325 42.0016981937)",3443,3425
"POINT (-87.60284764 41.6601360507)",3434,3400
"POINT (-87.6459662069 41.9145857091)",3415,4186
"POINT (-87.6999685912 41.9284315635)",3391,3234
"POINT (-87.683718102 41.957735565)",3327,3226
"POINT (-87.7103591445 41.9210196071)",3293,3619
"POINT (-87.5935368954 41.7834599172)",3290,3003
"POINT (-87.6426052473 41.9268111821)",3280,2797
"POINT (-87.6765780714 41.9651417087)",3264,3589
"POINT (-87.6023504372 41.8237128095)",3261,3210
"POINT (-87.7980321814 41.9292973683)",3243,3146
"POINT (-87.7131924966 41.6948789661)",3237,3075
"POINT (-87.6696239301 41.8924331563)",3187,2822
"POINT (-87.689951469 41.9216471318)",3167,3285
"POINT (-87.5863483178 41.7441995348)",3116,2999
"POINT (-87.6108347373 41.8346735981)",3079,2876
"POINT (-87.6376353868 41.7764307773)",3066,3036
"POINT (-87.5748881668 41.7157609069)",3036,3041
"POINT (-87.5823657023 41.7971534246)",3012,3463
"POINT (-87.6922563262 41.9157411934)",2978,2640
"POINT (-87.6631267998 42.0003203059)",2908,2313
"POINT (-87.6727239593 42.0090182269)",2877,2705
"POINT (-87.600092686 41.7008887972)",2872,2814
"POINT (-87.674506788 41.8923550478)",2868,2327
"POINT (-87.6305800611 41.8612808467)",2830,2532
"POINT (-87.6761824959 41.9505456965)",2810,2831
"POINT (-87.6838259399 41.9159097884)",2804,2625
"POINT (-87.6840183712 41.9668340674)",2754,2705
"POINT (-87.7598126285 41.8765928828)",2738,2603
"POINT (-87.7186707951 41.8917542026)",2732,2643
"POINT (-87.6037457654 41.7978270187)",2709,3173
"POINT (-87.6616429039 41.9490605256)",2696,2641
"POINT (-87.7600980476 41.8837934871)",2691,2381
"POINT (-87.7698815509 41.88366198)",2654,2391
"POINT (-87.7142147077 41.8681324282)",2644,2851
"POINT (-87.551994147 41.7559614313)",2608,2347
"POINT (-87.6893191901 41.8994457693)",2606,2693
"POINT (-87.6895798343 41.9066385418)",2599,2536
"POINT (-87.6665362779 42.0159343756)",2596,2547
"POINT (-87.6640472412 41.8692744531)",2594,2310
"POINT (-87.671107656 41.9414882338)",2590,2873
"POINT (-87.5836072899 41.7555681774)",2586,2446
"POINT (-87.6414915334 41.897983898)",2579,2279
"POINT (-87.6850821101 41.9212731053)",2570,2451
"POINT (-87.6573042698 41.9912345323)",2565,2133
"POINT (-87.6618611238 41.8741766252)",2559,2414
"POINT (-87.693325868 41.9354389148)",2550,2618
"POINT (-87.6709663837 41.9359889065)",2549,2439
"POINT (-87.680162272 42.0160105638)",2527,2550
"POINT (-87.6806541164 41.8773834707)",2519,2552
"POINT (-87.5349029012 41.707311449)",2512,2422
"POINT (-87.7478743394 41.8841446699)",2505,2472
"POINT (-87.6940960217 41.9798553089)",2474,2127
"POINT (-87.6750627566 41.9123643542)",2449,3353
"POINT (-87.6324245245 41.8090844303)",2448,2354
"POINT (-87.7164304157 41.9782942489)",2415,2645
"POINT (-87.6615450961 41.9452823311)",2382,2524
"POINT (-87.7038545435 41.9357064711)",2382,2392
"POINT (-87.8415864319 41.9822729289)",2378,2261
"POINT (-87.8137810343 42.0076125931)",2376,2405
"POINT (-87.7027334697 41.9645069548)",2356,2326
"POINT (-87.6712503529 41.6846149678)",2345,2294
"POINT (-87.6835062305 41.9504425991)",2315,2302
"POINT (-87.6514091317 41.7551743829)",2284,2223
"POINT (-87.5917077725 41.7458424102)",2275,2304
"POINT (-87.644209287 41.856309817)",2267,2840
"POINT (-87.7524091367 41.9606756968)",2246,2132
"POINT (-87.5813495087 41.7696904664)",2227,2198
"POINT (-87.6733337784 42.0160464924)",2218,1580
"POINT (-87.7123574755 41.9336759885)",2205,2390
"POINT (-87.6578712629 41.9788750584)",2204,1940
"POINT (-87.6100749663 41.7482105124)",2200,2122
"POINT (-87.6925159284 41.8637871234)",2171,2350
"POINT (-87.6295663156 41.7275849467)",2169,2081
"POINT (-87.6013151779 41.748623179)",2161,1754
"POINT (-87.684198195 42.0013132491)",2154,1952
"POINT (-87.668574537 41.8559343655)",2145,1754
"POINT (-87.6488131191 41.7478369814)",2133,2085
"POINT (-87.6946307194 41.994059824)",2131,1851
"POINT (-87.7201851765 41.8625777773)",2128,2072
"POINT (-87.6698247721 42.0212235931)",2106,1960
"POINT (-87.676373281 41.9578433752)",2095,2160
"POINT (-87.6639582144 42.0094125471)",2081,1613
"POINT (-87.6035588871 41.783170859)",2069,3081
"POINT (-87.5799482481 41.7761636931)",2061,1753
"POINT (-87.671518011 41.9579038971)",2055,2211
"POINT (-87.759857019 41.970288894)",2021,1785
"POINT (-87.671332488 41.9506052324)",2015,1980
"POINT (-87.7445755674 41.8767621307)",2015,1718
"POINT (-87.6251541272 41.8349623252)",2013,2194
"POINT (-87.6578992921 41.7268354017)",2004,1907
"POINT (-87.6793974791 41.8922767078)",1989,1741
"POINT (-87.6701845504 41.9633743823)",1980,1701
"POINT (-87.6829962096 41.8441449609)",1973,1788
"POINT (-87.6662888874 41.941555829)",1972,1810
"POINT (-87.6084265019 41.7831007248)",1970,1767
"POINT (-87.6103458371 41.7621423146)",1963,1769
"POINT (-87.5409355129 41.6636706517)",1947,1750
"POINT (-87.6614433685 41.9416281)",1947,2545
"POINT (-87.7020071282 41.9504044107)",1922,1847
"POINT (-87.7338570193 41.9061678698)",1922,1949
"POINT (-87.683227168 41.8555013528)",1918,1548
"POINT (-87.7103539349 41.9066839592)",1906,1496
"POINT (-87.6011081642 41.740997711)",1904,1763
"POINT (-87.621499206 41.8201666062)",1887,1761
"POINT (-87.7324696377 41.8624142737)",1875,1704
"POINT (-87.6042092221 41.813200941)",1873,1692
"POINT (-87.6522740174 41.9801575735)",1873,1813
"POINT (-87.5739519554 41.7697847237)",1872,1557
"POINT (-87.681993542 41.9833308063)",1865,2196
"POINT (-87.6106933 41.7766915396)",1857,1891
"POINT (-87.6838545561 41.9631849658)",1849,1689
"POINT (-87.7048934862 41.9941436461)",1813,1503
"POINT (-87.6574177422 41.9934409461)",1808,1552
"POINT (-87.7335180512 41.8952576428)",1807,2001
"POINT (-87.7389372047 41.97153938)",1800,1722
"POINT (-87.6220364612 41.8420111804)",1793,1892
"POINT (-87.6746905879 41.8558061709)",1791,1771
"POINT (-87.7128142315 41.9502120955)",1783,1535
"POINT (-87.5812710169 41.7642434593)",1777,1711
"POINT (-87.7078663416 41.8615808621)",1766,1560
"POINT (-87.632184554 41.7544341714)",1763,1816
"POINT (-87.6633278588 42.0045174875)",1752,1426
"POINT (-87.7560677045 41.86911914)",1744,1920
"POINT (-87.6524349997 41.9672886138)",1741,1378
"POINT (-87.671873941 41.8860057857)",1738,1372
"POINT (-87.6516929533 41.8162234797)",1727,1870
"POINT (-87.6846859492 41.9067077917)",1711,1623
"POINT (-87.7228222513 41.9573606908)",1702,1612
"POINT (-87.7223302976 41.9374017942)",1695,1630
"POINT (-87.7753675003 41.9129253704)",1677,1464
"POINT (-87.7213158985 41.8990616211)",1675,1434
"POINT (-87.6201776393 41.7692450579)",1663,1490
"POINT (-87.6535834197 41.8329371807)",1660,1654
"POINT (-87.5628473838 41.7584079022)",1644,1495
"POINT (-87.6709898632 41.7539859024)",1637,1511
"POINT (-87.6537566193 41.8634226841)",1633,1363
"POINT (-87.647113634 41.946489764)",1617,1277
"POINT (-87.7521052352 41.8766962871)",1617,1425
"POINT (-87.5963032107 41.7769506664)",1616,1646
"POINT (-87.6097621427 41.7409601584)",1616,1708
"POINT (-87.724267094 41.9297590466)",1603,1327
"POINT (-87.6006915709 41.8204569069)",1600,1531
"POINT (-87.6101685859 41.7548461015)",1597,1558
"POINT (-87.6205583422 41.7828634535)",1589,1447
"POINT (-87.6860768812 41.9942252345)",1573,1349
"POINT (-87.6089492784 41.8067652712)",1564,1495
"POINT (-87.6706210432 41.9670117607)",1542,1337
"POINT (-87.7976006842 41.9255880881)",1539,1368
"POINT (-87.7880088189 41.9275798469)",1536,1617
"POINT (-87.6786882109 41.9942660943)",1532,1500
"POINT (-87.6032571641 41.776910545)",1529,1429
"POINT (-87.6950866748 41.9284649843)",1526,1544
"POINT (-87.5726073052 41.7468832529)",1517,1674
"POINT (-87.7088084239 41.8986992296)",1515,1428
"POINT (-87.6720809941 41.9869530579)",1514,1529
"POINT (-87.6231795767 41.7910416602)",1509,1444
"POINT (-87.6809803011 41.9357494591)",1502,1220
"POINT (-87.6574987907 41.9971539428)",1495,1402
"POINT (-87.7134353285 41.9702449819)",1488,1363
"POINT (-87.6666114405 41.957530922)",1483,1575
"POINT (-87.6707697365 41.7475342629)",1478,1314
"POINT (-87.6141870291 41.8277887624)",1472,1186
"POINT (-87.5964755956 41.728182061)",1458,1698
"POINT (-87.6944151909 41.9868086263)",1455,1299
"POINT (-87.6195429239 41.7437209115)",1438,1284
"POINT (-87.5756371314 41.7284560288)",1437,1392
"POINT (-87.7138533806 41.8850752975)",1433,1327
"POINT (-87.5902857319 41.7621651218)",1429,1221
"POINT (-87.7220523299 41.9337850524)",1428,1445
"POINT (-87.6153264942 41.7032802648)",1426,1225
"POINT (-87.6040586249 41.8059249688)",1423,1258
"POINT (-87.6489783241 41.8561441046)",1423,1518
"POINT (-87.6572348282 41.9887040216)",1423,1331
"POINT (-87.7132293348 41.9631157548)",1418,1287
"POINT (-87.6940200973 41.9668063463)",1398,1277
"POINT (-87.704648384 41.9210845826)",1398,1424
"POINT (-87.6903405275 41.7462155842)",1384,1299
"POINT (-87.7320590255 41.7622466529)",1362,1439
"POINT (-87.6886749004 41.8713514005)",1345,992
"POINT (-87.5993944745 41.7662994252)",1331,1318
"POINT (-87.6862228603 41.7828367169)",1322,1219
"POINT (-87.6486268165 41.8270879119)",1320,1301
"POINT (-87.7215382944 41.9063227109)",1320,1108
"POINT (-87.6980008039 41.7681062939)",1316,1226
"POINT (-87.6537935286 41.9854724225)",1312,1418
"POINT (-87.693341249 41.7772872248)",1312,1064
"POINT (-87.7608129894 41.905820977)",1311,1202
"POINT (-87.6996630419 42.0156967498)",1306,1197
"POINT (-87.7622859818 41.9605182177)",1304,1249
"POINT (-87.6175761725 41.8002600946)",1297,1496
"POINT (-87.6280852818 41.6997566852)",1294,1205
"POINT (-87.7310024842 41.9426995777)",1292,1138
"POINT (-87.6675715595 41.83380026)",1289,1129
"POINT (-87.7021052472 41.8916970451)",1286,1515
"POINT (-87.5601889949 41.7535307093)",1281,1190
"POINT (-87.5994629948 41.6502216756)",1265,1148
"POINT (-87.7018845586 41.9047120004)",1262,1459
"POINT (-87.7101956338 41.915496209)",1239,769
"POINT (-87.6990971733 41.8081895757)",1238,1139
"POINT (-87.7520115624 41.8986254245)",1235,1139
"POINT (-87.6810252307 41.9067713317)",1233,1457
"POINT (-87.6298717446 41.7617023786)",1223,1157
"POINT (-87.770122842 41.8909693802)",1212,1066
"POINT (-87.6891259086 41.8919483818)",1194,966
"POINT (-87.672538401 41.9943810196)",1185,1181
"POINT (-87.6125639471 41.8416911186)",1178,993
"POINT (-87.5811855611 41.7606410373)",1177,1368
"POINT (-87.7383939059 41.9587978628)",1156,1250
"POINT (-87.6109393487 41.7921360843)",1155,925
"POINT (-87.6945342821 41.9079652463)",1150,938
"POINT (-87.7099873375 41.9374939696)",1147,762
"POINT (-87.5893233661 41.7696482642)",1141,989
"POINT (-87.6559368296 41.7477324924)",1135,1018
"POINT (-87.6871159899 42.0157199072)",1120,992
"POINT (-87.7210167687 41.964652354)",1120,864
"POINT (-87.6411836567 41.9164733164)",1118,1054
"POINT (-87.6323962405 41.6815616467)",1110,1001
"POINT (-87.6558149022 41.9955129914)",1107,1015
"POINT (-87.7239678299 41.9900642527)",1105,1293
"POINT (-87.7308987849 41.9572641084)",1103,1028
"POINT (-87.7603493864 41.8910854233)",1097,1048
"POINT (-87.6162675703 41.6960577638)",1090,980
"POINT (-87.5658238794 41.7686011013)",1083,926
"POINT (-87.6168216385 41.6891234369)",1079,1040
"POINT (-87.770385079 41.898425258)",1074,1066
"POINT (-87.6289833139 41.7686672562)",1069,837
