"",323963,338596
"POINT (-87.6937939017 41.8759663)",1066,891
"POINT (-87.6187195937 41.8130462951)",1062,917
"POINT (-87.7322454045 41.8551039667)",1059,951
"POINT (-87.6384969156 41.7691898164)",1057,1224
"POINT (-87.6842894005 41.8921964292)",1053,946
"POINT (-87.6200146997 41.7619610796)",1044,960
"POINT (-87.5949330919 41.7146749464)",1037,1186
"POINT (-87.7020985409 41.9595267906)",1030,1013
"POINT (-87.5790888158 41.7419428604)",1029,998
"POINT (-87.7055526328 41.87161966)",1016,901
"POINT (-87.6373040854 41.6637597312)",1013,827
"POINT (-87.5713420299 41.7643597021)",1011,798
"POINT (-87.5964755956 41.7281820611)",1003,1057
"POINT (-87.6132781783 41.7830141971)",1003,894
"POINT (-87.6988915914 41.885621155)",1003,1279
"POINT (-87.701802904 42.0008748252)",1002,740
"POINT (-87.6932651023 41.7736412828)",1001,872
"POINT (-87.6915302475 41.9576519161)",999,896
"POINT (-87.7968155178 41.9146023652)",994,902
"POINT (-87.7128745809 41.8626614463)",993,817
"POINT (-87.6701891476 41.9124318691)",991,1174
"POINT (-87.6698353627 41.7405850222)",985,1020
"POINT (-87.632245255 41.8018227527)",979,948
"POINT (-87.6116848803 41.8140038222)",978,1069
"POINT (-87.901885838 42.0055597639)",973,1003
"POINT (-87.6751020589 41.8161780153)",971,909
"POINT (-87.6531587001 41.8365103216)",969,780
"POINT (-87.715732633 41.8566586145)",969,914
"POINT (-87.6547394924 41.8552500875)",960,804
"POINT (-87.6637988716 41.8268319106)",957,918
"POINT (-87.6936374936 42.0013159243)",957,856
"POINT (-87.6525180192 41.7178174158)",954,1036
"POINT (-87.6346478774 41.9346504482)",952,1087
"POINT (-87.7356259487 41.9278531896)",950,784
"POINT (-87.6583976702 41.9854764991)",940,1047
"POINT (-87.6897112748 41.91213208)",940,882
"POINT (-87.6935387966 41.853834685)",934,943
"POINT (-87.6808269032 41.9413656601)",933,877
"POINT (-87.5935612875 41.8132012947)",929,836
"POINT (-87.7513626916 41.927819073)",928,770
"POINT (-87.6809282247 41.9450101512)",924,927
"POINT (-87.6855896618 41.7611057444)",922,786
"POINT (-87.7129731725 41.9592101847)",917,765
"POINT (-87.6592046708 41.8695838595)",912,782
"POINT (-87.7608843709 41.9128367835)",911,760
"POINT (-87.6860998978 41.972035672)",910,829
"POINT (-87.6517530558 41.6813147793)",904,870
"POINT (-87.6859131333 42.0084870082)",902,765
"POINT (-87.7230765587 41.8771009333)",893,790
"POINT (-87.6493598032 41.7687668368)",890,872
"POINT (-87.6495525851 41.776039769)",888,793
"POINT (-87.7306842554 41.9499744545)",888,651
"POINT (-87.7006919027 41.8607622624)",883,910
"POINT (-87.6381750671 41.7142521521)",879,940
"POINT (-87.7712319246 41.9348600057)",876,748
"POINT (-87.7012131039 41.9557717866)",874,786
"POINT (-87.701941074 41.9768117505)",872,993
"POINT (-87.6450896352 41.7836333784)",870,780
"POINT (-87.6520492549 41.6886316646)",865,792
"POINT (-87.6758219283 41.935983574)",862,933
"POINT (-87.5636925942 41.7444906426)",861,741
"POINT (-87.6053162829 41.6673653039)",856,683
"POINT (-87.7509798603 41.9195645564)",853,691
"POINT (-87.6321646406 41.6742786904)",852,876
"POINT (-87.7133688039 41.9865581808)",852,694
"POINT (-87.761463375 41.9349868535)",849,775
"POINT (-87.7689702414 41.985916382)",832,964
"POINT (-87.6214361442 41.8076176173)",824,694
"POINT (-87.7452432048 41.9526648947)",820,637
"POINT (-87.6605035019 41.952719111)",815,812
"POINT (-87.7942692959 41.9956031347)",813,749
"POINT (-87.6949637498 42.0085407611)",812,686
"POINT (-87.6132286335 41.7179672564)",804,1020
"POINT (-87.7152528177 41.9209608656)",797,690
"POINT (-87.5943479846 41.8060217045)",795,767
"POINT (-87.639875541 41.7611662989)",793,747
"POINT (-87.6410707462 41.9128689225)",792,799
"POINT (-87.7521184147 41.9497090767)",780,655
"POINT (-87.7514743323 41.9061861044)",779,714
"POINT (-87.8130981301 42.0056080233)",778,811
"POINT (-87.6532196007 41.7341687376)",777,720
"POINT (-87.624088952 41.8274002516)",776,814
"POINT (-87.6967563395 41.8382957974)",772,1096
"POINT (-87.6343417807 41.7872788781)",770,631
"POINT (-87.7108482084 41.9667749433)",768,693
"POINT (-87.723804133 41.8301172027)",768,1175
"POINT (-87.6139994504 41.808511513)",763,714
"POINT (-87.6198449905 41.7546793318)",759,725
"POINT (-87.7123276017 41.9255672296)",757,807
"POINT (-87.7441731843 41.9076884994)",742,628
"POINT (-87.657966347 41.9827455952)",738,755
"POINT (-87.652031202 41.6958343746)",734,714
"POINT (-87.7606043246 41.8985493636)",732,669
"POINT (-87.6849139261 41.8702687225)",723,607
"POINT (-87.7215645012 41.9261558167)",721,754
"POINT (-87.7224042748 41.855238198)",719,718
"POINT (-87.722610871 41.9500776349)",718,637
"POINT (-87.6377304261 41.6997593569)",715,791
"POINT (-87.7177791062 41.8762234405)",714,693
"POINT (-87.6485823365 41.7396448282)",704,600
"POINT (-87.7617177214 41.9422905548)",704,592
"POINT (-87.6017598207 41.8015328005)",701,1307
"POINT (-87.7218357934 41.9227117587)",700,594
"POINT (-87.7986359527 41.9344868721)",699,400
"POINT (-87.6759539319 41.9414224785)",693,692
"POINT (-87.7057767012 41.9711428078)",688,547
"POINT (-87.6002973118 41.7550627172)",687,873
"POINT (-87.5942656985 41.8016710371)",686,981
"POINT (-87.7965237763 41.9418076152)",681,574
"POINT (-87.6183216222 41.7911260852)",677,535
"POINT (-87.7518036939 41.8914068203)",677,707
"POINT (-87.7120363411 41.7455375706)",676,694
"POINT (-87.5635848124 41.7646425154)",672,591
"POINT (-87.6856158172 41.9413116172)",672,679
"POINT (-87.7443896126 41.935214804)",669,544
"POINT (-87.7339509975 41.9116665881)",667,549
"POINT (-87.7516489576 41.9351139349)",665,562
"POINT (-87.6851318314 41.8786440899)",661,497
"POINT (-87.67861897 42.0091500631)",659,603
"POINT (-87.7279963634 41.8770568495)",658,599
"POINT (-87.7301873353 41.7822169695)",653,470
"POINT (-87.6986740167 41.8783232529)",651,535
"POINT (-87.7130900568 41.9555841154)",651,679
"POINT (-87.7303017582 41.9357450582)",648,525
"POINT (-87.7471543225 41.9424881553)",647,533
"POINT (-87.6954008836 41.7536365322)",646,590
"POINT (-87.6152853223 41.7107155901)",644,552
"POINT (-87.6139168534 41.8039458974)",634,508
"POINT (-87.6711548134 41.7666524081)",628,591
"POINT (-87.6492088283 41.7616128655)",626,560
"POINT (-87.7308284896 41.804147373)",621,407
"POINT (-87.6710019948 41.7612780797)",620,708
"POINT (-87.6485464717 41.7264071108)",613,553
"POINT (-87.7086378647 41.7987971043)",613,633
"POINT (-87.6522612961 41.8565067379)",612,566
"POINT (-87.6232200288 41.7769437808)",611,588
"POINT (-87.7322869198 41.9152908359)",609,554
"POINT (-87.7706325599 41.9056934239)",609,621
"POINT (-87.8197891138 41.978068292)",609,527
"POINT (-87.572162863 41.6834041303)",606,627
"POINT (-87.6283665103 41.8419280262)",604,526
"POINT (-87.7237819658 41.9725977673)",600,491
"POINT (-87.7328887938 41.8770442134)",592,538
"POINT (-87.7376199977 41.9350581526)",592,398
"POINT (-87.7830132797 41.9895838002)",592,522
"POINT (-87.6192497579 41.8274416865)",591,754
"POINT (-87.6431623703 41.8350679168)",588,428
"POINT (-87.6149864759 41.8205743953)",587,464
"POINT (-87.6995967918 41.9157074085)",586,533
"POINT (-87.7289580948 41.8712250372)",578,601
"POINT (-87.7381418906 41.9498764323)",574,719
"POINT (-87.7044795753 41.9156132381)",573,442
"POINT (-87.7027008412 41.7608185316)",571,439
"POINT (-87.7707373282 41.9275608953)",567,466
"POINT (-87.6583003944 41.7395020022)",565,463
"POINT (-87.6760627395 41.9450692053)",559,616
"POINT (-87.6505810959 41.7106148902)",554,530
"POINT (-87.7948169935 41.9558592583)",554,969
"POINT (-87.7722649905 41.9645680449)",552,416
"POINT (-87.8443594944 41.9753378261)",549,376
"POINT (-87.6993744036 41.8974257653)",545,546
"POINT (-87.7427878769 41.9646361993)",544,426
"POINT (-87.6920317308 41.817397869)",542,308
"POINT (-87.7296791339 41.9196352314)",542,436
"POINT (-87.5711847386 41.755301636)",541,501
"POINT (-87.7046056338 42.0074469243)",536,347
"POINT (-87.761958275 41.9495916894)",532,446
"POINT (-87.688737298 41.7388400971)",531,527
"POINT (-87.6439324936 41.8417186095)",527,355
"POINT (-87.7714955258 41.9421694153)",526,497
"POINT (-87.6212199892 41.8038507848)",520,434
"POINT (-87.6985727117 41.7899657482)",516,432
"POINT (-87.7809529189 41.9347280725)",516,482
"POINT (-87.7118213953 41.7382280867)",513,463
"POINT (-87.7726169108 41.9729552005)",511,339
"POINT (-87.6500792603 41.7030819924)",509,484
"POINT (-87.6101001049 41.8201978877)",501,483
"POINT (-87.6451004847 41.7906684244)",500,465
"POINT (-87.6490722438 41.8446607763)",495,352
"POINT (-87.8044048124 41.9887026463)",495,570
"POINT (-87.6090062203 41.7286693305)",493,498
"POINT (-87.7303971516 41.7895012715)",493,271
"POINT (-87.6914304807 41.8484115955)",492,392
"POINT (-87.6237680464 41.8138063365)",490,426
"POINT (-87.7400551895 41.991119555)",488,468
"POINT (-87.7705377644 41.9202651208)",486,415
"POINT (-87.6221973414 41.7865020374)",485,428
"POINT (-87.6649068859 41.8559898728)",484,504
"POINT (-87.6994797204 41.9120734929)",484,414
"POINT (-87.7008239559 41.867823493)",484,491
"POINT (-87.6714064978 41.695652247)",482,406
"POINT (-87.7318327391 41.9653625868)",482,360
"POINT (-87.7575974858 41.9944980381)",482,428
"POINT (-87.7607889112 41.920126404)",482,717
"POINT (-87.6945983 41.9120843819)",470,445
"POINT (-87.7610398751 41.9261631049)",470,327
"POINT (-87.7212485554 41.919181737)",462,421
"POINT (-87.599476602 41.8130413823)",461,490
"POINT (-87.5573895394 41.7470857284)",452,491
"POINT (-87.7228130756 41.8710123117)",448,352
"POINT (-87.6389644795 41.7397696793)",445,349
"POINT (-87.6284185393 41.7107380118)",434,360
"POINT (-87.7619249793 41.9770023043)",433,288
"POINT (-87.7973989844 41.9792045509)",431,386
"POINT (-87.7452828446 41.7966403342)",430,419
"POINT (-87.7100873222 41.9118565923)",426,355
"POINT (-87.7317118534 41.7456228824)",419,377
"POINT (-87.780270163 41.9201527839)",419,367
"POINT (-87.6192895188 41.8340973906)",418,412
"POINT (-87.7091932868 41.8152739592)",415,335
"POINT (-87.6325885208 41.8163079956)",413,393
"POINT (-87.702699356 41.8481796587)",408,333
"POINT (-87.6606178329 41.8409308062)",404,375
"POINT (-87.582630304 41.7830341779)",402,510
"POINT (-87.6660835308 41.7131033946)",396,408
"POINT (-87.6857782135 41.9449467539)",392,396
"POINT (-87.7233197204 41.8843714992)",392,443
"POINT (-87.6098785976 41.8268941622)",390,334
"POINT (-87.7036682732 41.9868950432)",383,610
"POINT (-87.7968280466 41.949125166)",380,280
"POINT (-87.7035622954 41.8773599627)",378,363
"POINT (-87.7804606984 41.9274148582)",378,165
"POINT (-87.699310391 41.8145620008)",374,281
"POINT (-87.713331464 41.8772437541)",372,270
"POINT (-87.5466439265 41.7274198355)",370,410
"POINT (-87.6863834792 41.7901713682)",366,370
"POINT (-87.6922587601 41.9631533106)",365,373
"POINT (-87.5466953298 41.7493156702)",364,333
"POINT (-87.6374396682 41.6887759153)",364,264
"POINT (-87.7268701739 41.7513371286)",362,253
"POINT (-87.686845262 41.8174924901)",359,198
"POINT (-87.6994966972 41.8199863127)",354,298
"POINT (-87.771758223 41.9494732189)",352,306
"POINT (-87.7079560058 41.7752452362)",349,279
"POINT (-87.5352849613 41.6651677335)",348,224
"POINT (-87.6325587694 41.8274372319)",347,325
"POINT (-87.6567362073 41.7722993987)",347,285
"POINT (-87.7299764859 41.7749312653)",346,188
"POINT (-87.7377094687 41.8765230613)",344,292
"POINT (-87.6810946628 41.7738480353)",342,371
"POINT (-87.6813558293 41.8335178865)",338,247
"POINT (-87.7307334535 41.814440937)",336,468
"POINT (-87.7695533321 41.8754975076)",336,342
"POINT (-87.6283572537 41.7179636757)",332,212
"POINT (-87.7720438223 41.9567980899)",332,280
"POINT (-87.6611066433 41.7540875837)",331,320
"POINT (-87.6042416242 41.8276131391)",327,285
"POINT (-87.619143357 41.7253860857)",326,208
"POINT (-87.6983923087 41.7835960152)",324,333
"POINT (-87.7812865619 41.9420534671)",322,195
"POINT (-87.7818419914 41.9567787036)",322,290
"POINT (-87.6032655099 41.7317897369)",321,282
"POINT (-87.698781345 41.7972547246)",320,239
"POINT (-87.6889019476 41.8785975555)",319,302
"POINT (-87.6190072551 41.6704219433)",316,238
"POINT (-87.7721657941 41.7962059142)",316,298
"POINT (-87.7061361123 41.8818833615)",313,250
"POINT (-87.5991989847 41.8059784054)",312,337
"POINT (-87.71245035 41.8480722286)",312,206
"POINT (-87.6545378676 41.980606166)",308,261
"POINT (-87.6555162889 41.8423039419)",306,263
"POINT (-87.7231689742 41.969205937)",302,198
"POINT (-87.5590602859 41.727560391)",301,233
"POINT (-87.7734709274 41.9800778511)",299,259
"POINT (-87.7324280427 41.7986054047)",298,233
"POINT (-87.548564529 41.7319988447)",293,274
"POINT (-87.6384771827 41.7251769027)",291,321
"POINT (-87.6890166432 41.7974277095)",288,228
"POINT (-87.8266761823 41.9805068217)",286,354
"POINT (-87.7360839271 41.9808436155)",284,278
"POINT (-87.6387390279 41.7324415173)",279,267
"POINT (-87.6089455226 41.7706622278)",278,278
"POINT (-87.7172073437 41.7653303702)",277,201
"POINT (-87.6907541768 41.8281199775)",276,253
"POINT (-87.6769677545 41.8048535215)",275,322
"POINT (-87.7080444156 41.782532364)",272,191
"POINT (-87.7282271686 41.8843342115)",272,238
"POINT (-87.6329596351 41.834480698)",271,307
"POINT (-87.6989469155 41.9357360896)",271,171
"POINT (-87.7380297597 41.8842174687)",268,222
"POINT (-87.7716332109 41.7815318023)",268,206
"POINT (-87.5756373476 41.7352486373)",265,218
"POINT (-87.677143472 41.713903063)",265,414
"POINT (-87.6747137902 41.7276040948)",264,338
"POINT (-87.7331366011 41.8842720207)",264,398
"POINT (-87.7075818281 41.8481112196)",262,260
"POINT (-87.7832380336 41.9752809258)",261,227
"POINT (-87.6278050029 41.6888979791)",258,225
"POINT (-87.7182200222 41.7896614748)",255,145
"POINT (-87.7385692263 41.9425542279)",252,204
"POINT (-87.6651385732 41.7031070928)",251,241
"POINT (-87.7043657112 41.9119719687)",247,233
"POINT (-87.6715775901 41.7830058493)",243,182
"POINT (-87.7510700613 41.9122848999)",239,238
"POINT (-87.8180418313 41.9889673837)",237,329
"POINT (-87.6799067059 41.8266634583)",234,116
"POINT (-87.5563651115 41.7400283675)",233,184
"POINT (-87.7277626622 41.8452133803)",232,227
"POINT (-87.651524281 41.6740396135)",223,230
"POINT (-87.5898972324 41.7351232641)",222,199
"POINT (-87.641971777 41.7533924165)",222,222
"POINT (-87.6615120648 41.7695000701)",222,208
"POINT (-87.719625507 41.8424806367)",222,159
"POINT (-87.7614215937 41.9297962382)",222,140
"POINT (-87.6609430664 41.7476603008)",219,197
"POINT (-87.6392016498 41.8418595653)",217,161
"POINT (-87.7180594796 41.7979663401)",217,184
"POINT (-87.7193128934 41.6872385828)",215,171
"POINT (-87.754352834 41.9423832777)",213,117
"POINT (-87.7313088248 41.7383553205)",212,195
"POINT (-87.7321081338 41.849303482)",211,235
"POINT (-87.7815190801 41.9493532323)",211,142
"POINT (-87.6191404307 41.7326763501)",206,176
"POINT (-87.7084167286 41.7897875353)",206,103
"POINT (-87.5600572565 41.7142705001)",205,159
"POINT (-87.7143824837 41.8533354466)",204,204
"POINT (-87.6645273518 41.7274357281)",199,191
"POINT (-87.6729255394 41.8268330147)",199,181
"POINT (-87.7122519178 41.8407574164)",198,130
"POINT (-87.7215097031 41.9117888585)",198,180
"POINT (-87.571298655 41.7607504457)",196,200
"POINT (-87.7131563352 41.8717864722)",196,133
"POINT (-87.730525118 41.7949721677)",196,143
"POINT (-87.6713496167 41.7739018233)",195,176
"POINT (-87.7258910154 41.9646477329)",195,222
"POINT (-87.7084530037 41.8773046203)",193,194
"POINT (-87.7173345017 41.8479905727)",192,206
"POINT (-87.7819640228 41.964474648)",192,123
"POINT (-87.6469581315 41.6604932464)",191,208
"POINT (-87.7375361538 41.919825504)",191,149
"POINT (-87.6405079844 41.8016543686)",189,178
"POINT (-87.6993365203 41.826854719)",187,85
"POINT (-87.6320285927 41.8418752811)",183,197
"POINT (-87.7111376676 41.7023951124)",181,179
"POINT (-87.7189271854 41.8162644525)",179,204
"POINT (-87.5492843747 41.7355812973)",178,183
"POINT (-87.693411148 41.6916321435)",178,155
"POINT (-87.6984896396 41.8714965148)",178,179
"POINT (-87.7575198647 41.7964631061)",178,189
"POINT (-87.6096296243 41.7347518213)",173,193
"POINT (-87.7341424687 41.9234789451)",173,155
"POINT (-87.6598228632 41.7977434103)",171,207
"POINT (-87.7522233681 41.9773225823)",170,141
"POINT (-87.6673042571 41.8049360821)",167,139
"POINT (-87.7178554569 41.782376767)",165,144
"POINT (-87.638333371 41.8311571825)",163,160
"POINT (-87.6121024835 41.768180963)",159,172
"POINT (-87.8273819062 41.948641657)",159,101
"POINT (-87.7719121859 41.7888698409)",158,120
"POINT (-87.6053716267 41.6893165995)",152,304
"POINT (-87.6277464724 41.8272746688)",152,107
"POINT (-87.7447575193 41.8987004986)",148,161
"POINT (-87.7519402692 41.7764087929)",148,96
"POINT (-87.7749947889 42.0020154637)",147,166
"POINT (-87.771428091 41.776036096)",145,77
"POINT (-87.6624417539 41.8049947111)",141,182
"POINT (-87.7051459314 41.8526761833)",138,123
"POINT (-87.5470098641 41.7413866268)",137,141
"POINT (-87.8127108296 41.9489087714)",135,120
"POINT (-87.7278713705 41.8395498637)",133,67
"POINT (-87.6975319159 41.8462576853)",132,80
"POINT (-87.7350927012 41.8417062238)",131,66
"POINT (-87.6523525183 41.7905644153)",126,116
"POINT (-87.7191065101 41.8049842842)",126,203
"POINT (-87.7976348995 41.9721321191)",126,68
"POINT (-87.7219444889 41.8474342025)",125,81
"POINT (-87.7438056558 41.9192261876)",125,128
"POINT (-87.6617163108 41.7767776431)",119,96
"POINT (-87.8123716627 41.9415765388)",119,126
"POINT (-87.71776197 41.7750932671)",117,89
"POINT (-87.7441073767 41.9279207294)",113,111
"POINT (-87.5879864909 41.7291990754)",109,125
"POINT (-87.7915883505 41.7957602563)",109,138
"POINT (-87.6669171573 41.790358012)",108,110
"POINT (-87.7200993558 41.9155404081)",104,104
"POINT (-87.6572085174 41.7904943458)",103,99
"POINT (-87.7915034641 41.7885025577)",101,85
"POINT (-87.7155147469 41.9063849508)",99,73
"POINT (-87.6762282602 41.7737900074)",98,84
"POINT (-87.6618793095 41.7831448789)",96,115
"POINT (-87.7444291755 41.8914022426)",96,133
"POINT (-87.6620630008 41.7904251325)",94,102
"POINT (-87.6721661068 41.8048929045)",93,76
"POINT (-87.7150955421 41.9154349001)",88,62
"POINT (-87.7195241482 41.8388061944)",88,36
"POINT (-87.6179310533 41.6818559174)",84,59
"POINT (-87.6612816592 41.76136464)",84,68
"POINT (-87.6717699997 41.7902999568)",82,52
"POINT (-87.7107159579 41.6950703499)",82,56
"POINT (-87.6278007049 41.8201046907)",80,71
"POINT (-87.7073712344 41.8408329604)",80,68
"POINT (-87.8135878649 42.0152547387)",80,72
"POINT (-87.7150726975 41.8992505592)",77,47
"POINT (-87.7479478988 41.8039071154)",76,71
"POINT (-87.6667318189 41.783068788)",75,44
"POINT (-87.5595140356 41.735632925)",74,129
"POINT (-87.6672802574 41.7335103327)",73,62
"POINT (-87.6564473199 41.7614352416)",72,87
"POINT (-87.5649291711 41.6519215762)",71,47
"POINT (-87.666582455 41.7766994076)",71,54
"POINT (-87.6832209112 41.6845177227)",71,60
"POINT (-87.7076034087 41.8553776002)",70,34
"POINT (-87.6525363972 41.7978474657)",67,55
"POINT (-87.6228623618 41.8101929095)",66,81
"POINT (-87.6570223057 41.7832127213)",65,53
"POINT (-87.8415580694 41.9519781)",64,58
"POINT (-87.7089325018 41.8251261456)",63,70
"POINT (-87.5395607853 41.7011115877)",59,43
"POINT (-87.676560983 41.7865448985)",59,67
"POINT (-87.6671138434 41.7976482349)",58,39
"POINT (-87.6267217602 41.6652675285)",56,31
"POINT (-87.7909785764 41.7756807051)",56,40
"POINT (-87.6575817151 41.8050592655)",55,46
"POINT (-87.6674491231 41.8103987508)",55,34
"POINT (-87.5307124836 41.7030053028)",54,19
"POINT (-87.635791217 41.8428074428)",54,9
"POINT (-87.6276076091 41.8128218962)",53,48
"POINT (-87.6982878083 41.7799542692)",53,43
"POINT (-87.7397263917 41.7748146515)",51,38
"POINT (-87.8221709921 41.9414908524)",51,50
"POINT (-87.6719765211 41.7975993826)",48,30
"POINT (-87.6499382213 41.8047715429)",47,41
"POINT (-87.747784377 41.8112835255)",46,39
"POINT (-87.8440898883 41.9721047584)",46,37
"POINT (-87.6476811104 41.7979125555)",44,34
"POINT (-87.6521653967 41.7832818371)",44,28
"POINT (-87.7912476506 41.7811787292)",41,35
"POINT (-87.7399588579 41.7821138932)",38,25
"POINT (-87.6985820537 41.6972691922)",37,31
"POINT (-87.6866458211 41.8102188725)",36,21
"POINT (-87.6891070244 41.7028338734)",35,36
"POINT (-87.6817668184 41.7992918527)",34,43
"POINT (-87.6861907121 41.6953922026)",33,42
"POINT (-87.5499633239 41.7131775612)",31,10
"POINT (-87.6768622338 41.7976059293)",30,17
"POINT (-87.6118459853 41.7238212509)",29,20
"POINT (-87.71498899 41.9117847953)",29,29
"POINT (-87.8307079799 41.9412904432)",29,23
"POINT (-87.6384880301 41.8126783701)",28,7
"POINT (-87.6921526613 41.8576665467)",28,5
"POINT (-87.5399158012 41.7136552552)",21,20
"POINT (-87.6942058859 41.8027552772)",21,16
"POINT (-87.8116057749 41.9361960772)",21,12
"POINT (-87.8163323526 41.999110415)",20,25
"POINT (-87.686669151 41.7099920149)",17,18
"POINT (-87.7406132526 41.804002777)",17,8
"POINT (-87.627467469 41.8055631926)",16,29
"POINT (-87.7411904469 41.8152684945)",16,7
"POINT (-87.529950466 41.6954498278)",8,8
"POINT (-87.6772070213 41.702776687)",8,13
"POINT (-87.5313862567 41.7204632831)",6,6
"POINT (-87.5403971901 41.6895380845)",5,9
